web-scraper-order,web-scraper-start-url,player-link,player-link-href,player-stats-link,player-stats-link-href,service-record,return-record,last-name,rank,age,turned-pro,weight,height
"1613279026-99","https://www.atptour.com/en/rankings/singles/?rankDate=2021-2-8&countryCode=all&rankRange=100-200","Yannick Hanfmann","https://www.atptour.com/en/players/yannick-hanfmann/h997/overview","Player Stats","https://www.atptour.com/en/players/yannick-hanfmann/h997/player-stats","[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""137""},{""service-record"":""Double Faults""},{""service-record"":""67""},{""service-record"":""1st Serve""},{""service-record"":""63%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""70%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""50%""},{""service-record"":""Break Points Faced""},{""service-record"":""203""},{""service-record"":""Break Points Saved""},{""service-record"":""62%""},{""service-record"":""Service Games Played""},{""service-record"":""380""},{""service-record"":""Service Games Won""},{""service-record"":""79%""},{""service-record"":""Total Service Points Won""},{""service-record"":""63%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""29%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""47%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""221""},{""return-record"":""Break Points Converted""},{""return-record"":""35%""},{""return-record"":""Return Games Played""},{""return-record"":""380""},{""return-record"":""Return Games Won""},{""return-record"":""21%""},{""return-record"":""Return Points Won""},{""return-record"":""36%""},{""return-record"":""Total Points Won""},{""return-record"":""50%""}]","Hanfmann","Singles
                                Ranking


                            
                        
                        
102                        
                    
                        
                            
                                
                            
                            GER","29                                        
                                            
                                                (1991.11.13)","2015","190","6'4"""
"1613278892-70","https://www.atptour.com/en/rankings/singles/?rankDate=2021-2-8&countryCode=all&rankRange=100-200","Prajnesh Gunneswaran","https://www.atptour.com/en/players/prajnesh-gunneswaran/ga94/overview","Player Stats","https://www.atptour.com/en/players/prajnesh-gunneswaran/ga94/player-stats","[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""131""},{""service-record"":""Double Faults""},{""service-record"":""74""},{""service-record"":""1st Serve""},{""service-record"":""61%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""68%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""48%""},{""service-record"":""Break Points Faced""},{""service-record"":""169""},{""service-record"":""Break Points Saved""},{""service-record"":""50%""},{""service-record"":""Service Games Played""},{""service-record"":""302""},{""service-record"":""Service Games Won""},{""service-record"":""72%""},{""service-record"":""Total Service Points Won""},{""service-record"":""60%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""23%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""46%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""109""},{""return-record"":""Break Points Converted""},{""return-record"":""33%""},{""return-record"":""Return Games Played""},{""return-record"":""307""},{""return-record"":""Return Games Won""},{""return-record"":""12%""},{""return-record"":""Return Points Won""},{""return-record"":""32%""},{""return-record"":""Total Points Won""},{""return-record"":""46%""}]","Gunneswaran","Singles
                                Ranking


                            
                        
                        
131                        
                    
                        
                            
                                
                            
                            IND","31                                        
                                            
                                                (1989.11.12)","2010","176","6'2"""
"1613278578-1","https://www.atptour.com/en/rankings/singles/?rankDate=2021-2-8&countryCode=all&rankRange=100-200","Sergiy Stakhovsky","https://www.atptour.com/en/players/sergiy-stakhovsky/sc77/overview","Player Stats","https://www.atptour.com/en/players/sergiy-stakhovsky/sc77/player-stats","[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""2,245""},{""service-record"":""Double Faults""},{""service-record"":""903""},{""service-record"":""1st Serve""},{""service-record"":""62%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""71%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""49%""},{""service-record"":""Break Points Faced""},{""service-record"":""2,325""},{""service-record"":""Break Points Saved""},{""service-record"":""61%""},{""service-record"":""Service Games Played""},{""service-record"":""4,240""},{""service-record"":""Service Games Won""},{""service-record"":""78%""},{""service-record"":""Total Service Points Won""},{""service-record"":""63%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""27%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""47%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""2,095""},{""return-record"":""Break Points Converted""},{""return-record"":""36%""},{""return-record"":""Return Games Played""},{""return-record"":""4,240""},{""return-record"":""Return Games Won""},{""return-record"":""18%""},{""return-record"":""Return Points Won""},{""return-record"":""35%""},{""return-record"":""Total Points Won""},{""return-record"":""49%""}]","Stakhovsky","Singles
                                Ranking


                            
                        
                        
200                        
                    
                        
                            
                                
                            
                            UKR","35                                        
                                            
                                                (1986.01.06)","2003","176","6'4"""
"1613278647-16","https://www.atptour.com/en/rankings/singles/?rankDate=2021-2-8&countryCode=all&rankRange=100-200","Frederico Ferreira Silva","https://www.atptour.com/en/players/frederico-ferreira-silva/sn54/overview","Player Stats","https://www.atptour.com/en/players/frederico-ferreira-silva/sn54/player-stats","[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""12""},{""service-record"":""Double Faults""},{""service-record"":""14""},{""service-record"":""1st Serve""},{""service-record"":""58%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""63%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""50%""},{""service-record"":""Break Points Faced""},{""service-record"":""31""},{""service-record"":""Break Points Saved""},{""service-record"":""39%""},{""service-record"":""Service Games Played""},{""service-record"":""55""},{""service-record"":""Service Games Won""},{""service-record"":""65%""},{""service-record"":""Total Service Points Won""},{""service-record"":""57%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""27%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""47%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""28""},{""return-record"":""Break Points Converted""},{""return-record"":""46%""},{""return-record"":""Return Games Played""},{""return-record"":""58""},{""return-record"":""Return Games Won""},{""return-record"":""22%""},{""return-record"":""Return Points Won""},{""return-record"":""35%""},{""return-record"":""Total Points Won""},{""return-record"":""46%""}]","Ferreira Silva","Singles
                                Ranking


                            
                        
                        
185                        
                    
                        
                            
                                
                            
                            POR","25                                        
                                            
                                                (1995.03.18)","2013","163","5'10"""
"1613278587-3","https://www.atptour.com/en/rankings/singles/?rankDate=2021-2-8&countryCode=all&rankRange=100-200","Lukas Rosol","https://www.atptour.com/en/players/lukas-rosol/r685/overview","Player Stats","https://www.atptour.com/en/players/lukas-rosol/r685/player-stats","[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""1,702""},{""service-record"":""Double Faults""},{""service-record"":""871""},{""service-record"":""1st Serve""},{""service-record"":""58%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""72%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""50%""},{""service-record"":""Break Points Faced""},{""service-record"":""1,852""},{""service-record"":""Break Points Saved""},{""service-record"":""63%""},{""service-record"":""Service Games Played""},{""service-record"":""3,202""},{""service-record"":""Service Games Won""},{""service-record"":""79%""},{""service-record"":""Total Service Points Won""},{""service-record"":""63%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""26%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""46%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""1,457""},{""return-record"":""Break Points Converted""},{""return-record"":""36%""},{""return-record"":""Return Games Played""},{""return-record"":""3,201""},{""return-record"":""Return Games Won""},{""return-record"":""17%""},{""return-record"":""Return Points Won""},{""return-record"":""34%""},{""return-record"":""Total Points Won""},{""return-record"":""49%""}]","Rosol","Singles
                                Ranking


                            
                        
                        
198                        
                    
                        
                            
                                
                            
                            CZE","35                                        
                                            
                                                (1985.07.24)","2004","182","6'4"""
"1613278756-40","https://www.atptour.com/en/rankings/singles/?rankDate=2021-2-8&countryCode=all&rankRange=100-200","Juan Martin del Potro","https://www.atptour.com/en/players/juan-martin-del-potro/d683/overview","Player Stats","https://www.atptour.com/en/players/juan-martin-del-potro/d683/player-stats","[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""4,417""},{""service-record"":""Double Faults""},{""service-record"":""1,365""},{""service-record"":""1st Serve""},{""service-record"":""64%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""74%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""53%""},{""service-record"":""Break Points Faced""},{""service-record"":""2,995""},{""service-record"":""Break Points Saved""},{""service-record"":""64%""},{""service-record"":""Service Games Played""},{""service-record"":""7,179""},{""service-record"":""Service Games Won""},{""service-record"":""85%""},{""service-record"":""Total Service Points Won""},{""service-record"":""67%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""30%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""52%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""4,409""},{""return-record"":""Break Points Converted""},{""return-record"":""42%""},{""return-record"":""Return Games Played""},{""return-record"":""7,189""},{""return-record"":""Return Games Won""},{""return-record"":""26%""},{""return-record"":""Return Points Won""},{""return-record"":""39%""},{""return-record"":""Total Points Won""},{""return-record"":""53%""}]","del Potro","Singles
                                Ranking


                            
                        
                        
161                        
                    
                        
                            
                                
                            
                            ARG","32                                        
                                            
                                                (1988.09.23)","2005","214","6'6"""
"1613279021-98","https://www.atptour.com/en/rankings/singles/?rankDate=2021-2-8&countryCode=all&rankRange=100-200","Andrej Martin","https://www.atptour.com/en/players/andrej-martin/mf35/overview","Player Stats","https://www.atptour.com/en/players/andrej-martin/mf35/player-stats","[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""92""},{""service-record"":""Double Faults""},{""service-record"":""82""},{""service-record"":""1st Serve""},{""service-record"":""65%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""64%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""50%""},{""service-record"":""Break Points Faced""},{""service-record"":""351""},{""service-record"":""Break Points Saved""},{""service-record"":""64%""},{""service-record"":""Service Games Played""},{""service-record"":""432""},{""service-record"":""Service Games Won""},{""service-record"":""71%""},{""service-record"":""Total Service Points Won""},{""service-record"":""59%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""35%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""49%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""310""},{""return-record"":""Break Points Converted""},{""return-record"":""40%""},{""return-record"":""Return Games Played""},{""return-record"":""436""},{""return-record"":""Return Games Won""},{""return-record"":""28%""},{""return-record"":""Return Points Won""},{""return-record"":""40%""},{""return-record"":""Total Points Won""},{""return-record"":""50%""}]","Martin","Singles
                                Ranking


                            
                        
                        
103                        
                    
                        
                            
                                
                            
                            SVK","31                                        
                                            
                                                (1989.09.20)","2007","183","6'0"""
"1613278669-21","https://www.atptour.com/en/rankings/singles/?rankDate=2021-2-8&countryCode=all&rankRange=100-200","Steven Diez","https://www.atptour.com/en/players/steven-diez/d916/overview","Player Stats","https://www.atptour.com/en/players/steven-diez/d916/player-stats","[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""18""},{""service-record"":""Double Faults""},{""service-record"":""33""},{""service-record"":""1st Serve""},{""service-record"":""63%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""63%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""46%""},{""service-record"":""Break Points Faced""},{""service-record"":""72""},{""service-record"":""Break Points Saved""},{""service-record"":""51%""},{""service-record"":""Service Games Played""},{""service-record"":""102""},{""service-record"":""Service Games Won""},{""service-record"":""66%""},{""service-record"":""Total Service Points Won""},{""service-record"":""56%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""27%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""54%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""65""},{""return-record"":""Break Points Converted""},{""return-record"":""37%""},{""return-record"":""Return Games Played""},{""return-record"":""108""},{""return-record"":""Return Games Won""},{""return-record"":""22%""},{""return-record"":""Return Points Won""},{""return-record"":""37%""},{""return-record"":""Total Points Won""},{""return-record"":""47%""}]","Diez","Singles
                                Ranking


                            
                        
                        
180                        
                    
                        
                            
                                
                            
                            CAN","29                                        
                                            
                                                (1991.03.17)","2009","167","5'9"""
"1613278629-12","https://www.atptour.com/en/rankings/singles/?rankDate=2021-2-8&countryCode=all&rankRange=100-200","Joao Menezes","https://www.atptour.com/en/players/joao-menezes/mn70/overview","Player Stats","https://www.atptour.com/en/players/joao-menezes/mn70/player-stats","[]","[]","Menezes","Singles
                                Ranking


                            
                        
                        
189                        
                    
                        
                            
                                
                            
                            BRA","24                                        
                                            
                                                (1996.12.17)","2014","185","6'1"""
"1613278856-62","https://www.atptour.com/en/rankings/singles/?rankDate=2021-2-8&countryCode=all&rankRange=100-200","Henri Laaksonen","https://www.atptour.com/en/players/henri-laaksonen/l949/overview","Player Stats","https://www.atptour.com/en/players/henri-laaksonen/l949/player-stats","[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""388""},{""service-record"":""Double Faults""},{""service-record"":""302""},{""service-record"":""1st Serve""},{""service-record"":""59%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""70%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""48%""},{""service-record"":""Break Points Faced""},{""service-record"":""542""},{""service-record"":""Break Points Saved""},{""service-record"":""59%""},{""service-record"":""Service Games Played""},{""service-record"":""843""},{""service-record"":""Service Games Won""},{""service-record"":""74%""},{""service-record"":""Total Service Points Won""},{""service-record"":""61%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""29%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""49%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""453""},{""return-record"":""Break Points Converted""},{""return-record"":""40%""},{""return-record"":""Return Games Played""},{""return-record"":""858""},{""return-record"":""Return Games Won""},{""return-record"":""21%""},{""return-record"":""Return Points Won""},{""return-record"":""37%""},{""return-record"":""Total Points Won""},{""return-record"":""49%""}]","Laaksonen","Singles
                                Ranking


                            
                        
                        
139                        
                    
                        
                            
                                
                            
                            SUI","28                                        
                                            
                                                (1992.03.31)","2009","172","6'1"""
