service-record,return-record,lastname,ranking,age,turnedpro,weight,height
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""432""},{""service-record"":""Double Faults""},{""service-record"":""204""},{""service-record"":""1st Serve""},{""service-record"":""54%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""74%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""49%""},{""service-record"":""Break Points Faced""},{""service-record"":""377""},{""service-record"":""Break Points Saved""},{""service-record"":""58%""},{""service-record"":""Service Games Played""},{""service-record"":""705""},{""service-record"":""Service Games Won""},{""service-record"":""78%""},{""service-record"":""Total Service Points Won""},{""service-record"":""63%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""29%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""47%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""348""},{""return-record"":""Break Points Converted""},{""return-record"":""42%""},{""return-record"":""Return Games Played""},{""return-record"":""699""},{""return-record"":""Return Games Won""},{""return-record"":""21%""},{""return-record"":""Return Points Won""},{""return-record"":""35%""},{""return-record"":""Total Points Won""},{""return-record"":""49%""}]",Travaglia,"Singles
                                Ranking


                            
                        
                        
60                        
                    
                        
                            
                                
                            
                            ITA","29                                        
                                            
                                                (1991.12.28)",2008,176,"6'1"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""116""},{""service-record"":""Double Faults""},{""service-record"":""85""},{""service-record"":""1st Serve""},{""service-record"":""62%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""68%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""47%""},{""service-record"":""Break Points Faced""},{""service-record"":""241""},{""service-record"":""Break Points Saved""},{""service-record"":""62%""},{""service-record"":""Service Games Played""},{""service-record"":""341""},{""service-record"":""Service Games Won""},{""service-record"":""73%""},{""service-record"":""Total Service Points Won""},{""service-record"":""60%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""31%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""50%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""201""},{""return-record"":""Break Points Converted""},{""return-record"":""39%""},{""return-record"":""Return Games Played""},{""return-record"":""343""},{""return-record"":""Return Games Won""},{""return-record"":""23%""},{""return-record"":""Return Points Won""},{""return-record"":""38%""},{""return-record"":""Total Points Won""},{""return-record"":""49%""}]",Koepfer,"Singles
                                Ranking


                            
                        
                        
70                        
                    
                        
                            
                                
                            
                            GER","26                                        
                                            
                                                (1994.04.29)",2016,175,"5'11"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""4,601""},{""service-record"":""Double Faults""},{""service-record"":""2,364""},{""service-record"":""1st Serve""},{""service-record"":""60%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""74%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""49%""},{""service-record"":""Break Points Faced""},{""service-record"":""3,657""},{""service-record"":""Break Points Saved""},{""service-record"":""63%""},{""service-record"":""Service Games Played""},{""service-record"":""7,055""},{""service-record"":""Service Games Won""},{""service-record"":""81%""},{""service-record"":""Total Service Points Won""},{""service-record"":""64%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""27%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""49%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""3,615""},{""return-record"":""Break Points Converted""},{""return-record"":""37%""},{""return-record"":""Return Games Played""},{""return-record"":""7,098""},{""return-record"":""Return Games Won""},{""return-record"":""19%""},{""return-record"":""Return Points Won""},{""return-record"":""35%""},{""return-record"":""Total Points Won""},{""return-record"":""50%""}]",Chardy,"Singles
                                Ranking


                            
                        
                        
61                        
                    
                        
                            
                                
                            
                            FRA","33                                        
                                            
                                                (1987.02.12)",2005,165,"6'2"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""2,622""},{""service-record"":""Double Faults""},{""service-record"":""1,244""},{""service-record"":""1st Serve""},{""service-record"":""60%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""74%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""53%""},{""service-record"":""Break Points Faced""},{""service-record"":""2,578""},{""service-record"":""Break Points Saved""},{""service-record"":""63%""},{""service-record"":""Service Games Played""},{""service-record"":""5,605""},{""service-record"":""Service Games Won""},{""service-record"":""83%""},{""service-record"":""Total Service Points Won""},{""service-record"":""66%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""30%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""50%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""3,381""},{""return-record"":""Break Points Converted""},{""return-record"":""39%""},{""return-record"":""Return Games Played""},{""return-record"":""5,617""},{""return-record"":""Return Games Won""},{""return-record"":""24%""},{""return-record"":""Return Points Won""},{""return-record"":""38%""},{""return-record"":""Total Points Won""},{""return-record"":""51%""}]",Thiem,"Singles
                                Ranking


                            
                        
                        
3                        
                    
                        
                            
                                
                            
                            AUT","27                                        
                                            
                                                (1993.09.03)",2011,174,"6'1"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""702""},{""service-record"":""Double Faults""},{""service-record"":""288""},{""service-record"":""1st Serve""},{""service-record"":""64%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""68%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""50%""},{""service-record"":""Break Points Faced""},{""service-record"":""1,121""},{""service-record"":""Break Points Saved""},{""service-record"":""60%""},{""service-record"":""Service Games Played""},{""service-record"":""1,814""},{""service-record"":""Service Games Won""},{""service-record"":""75%""},{""service-record"":""Total Service Points Won""},{""service-record"":""62%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""29%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""51%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""1,081""},{""return-record"":""Break Points Converted""},{""return-record"":""41%""},{""return-record"":""Return Games Played""},{""return-record"":""1,825""},{""return-record"":""Return Games Won""},{""return-record"":""24%""},{""return-record"":""Return Points Won""},{""return-record"":""38%""},{""return-record"":""Total Points Won""},{""return-record"":""50%""}]",Krajinovic,"Singles
                                Ranking


                            
                        
                        
33                        
                    
                        
                            
                                
                            
                            SRB","28                                        
                                            
                                                (1992.02.27)",2008,165,"6'1"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""1,510""},{""service-record"":""Double Faults""},{""service-record"":""938""},{""service-record"":""1st Serve""},{""service-record"":""66%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""70%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""54%""},{""service-record"":""Break Points Faced""},{""service-record"":""3,102""},{""service-record"":""Break Points Saved""},{""service-record"":""62%""},{""service-record"":""Service Games Played""},{""service-record"":""5,912""},{""service-record"":""Service Games Won""},{""service-record"":""80%""},{""service-record"":""Total Service Points Won""},{""service-record"":""64%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""31%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""53%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""3,701""},{""return-record"":""Break Points Converted""},{""return-record"":""42%""},{""return-record"":""Return Games Played""},{""return-record"":""5,799""},{""return-record"":""Return Games Won""},{""return-record"":""27%""},{""return-record"":""Return Points Won""},{""return-record"":""40%""},{""return-record"":""Total Points Won""},{""return-record"":""52%""}]",Bautista Agut,"Singles
                                Ranking


                            
                        
                        
13                        
                    
                        
                            
                                
                            
                            ESP","32                                        
                                            
                                                (1988.04.14)",2005,165,"6'0"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""825""},{""service-record"":""Double Faults""},{""service-record"":""383""},{""service-record"":""1st Serve""},{""service-record"":""62%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""68%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""53%""},{""service-record"":""Break Points Faced""},{""service-record"":""1,387""},{""service-record"":""Break Points Saved""},{""service-record"":""60%""},{""service-record"":""Service Games Played""},{""service-record"":""2,414""},{""service-record"":""Service Games Won""},{""service-record"":""77%""},{""service-record"":""Total Service Points Won""},{""service-record"":""63%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""28%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""51%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""1,334""},{""return-record"":""Break Points Converted""},{""return-record"":""41%""},{""return-record"":""Return Games Played""},{""return-record"":""2,388""},{""return-record"":""Return Games Won""},{""return-record"":""23%""},{""return-record"":""Return Points Won""},{""return-record"":""37%""},{""return-record"":""Total Points Won""},{""return-record"":""50%""}]",Millman,"Singles
                                Ranking


                            
                        
                        
39                        
                    
                        
                            
                                
                            
                            AUS","31                                        
                                            
                                                (1989.06.14)",2006,174,"6'0"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""534""},{""service-record"":""Double Faults""},{""service-record"":""409""},{""service-record"":""1st Serve""},{""service-record"":""65%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""69%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""49%""},{""service-record"":""Break Points Faced""},{""service-record"":""827""},{""service-record"":""Break Points Saved""},{""service-record"":""63%""},{""service-record"":""Service Games Played""},{""service-record"":""1,351""},{""service-record"":""Service Games Won""},{""service-record"":""77%""},{""service-record"":""Total Service Points Won""},{""service-record"":""62%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""29%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""49%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""723""},{""return-record"":""Break Points Converted""},{""return-record"":""40%""},{""return-record"":""Return Games Played""},{""return-record"":""1,352""},{""return-record"":""Return Games Won""},{""return-record"":""22%""},{""return-record"":""Return Points Won""},{""return-record"":""37%""},{""return-record"":""Total Points Won""},{""return-record"":""49%""}]",Norrie,"Singles
                                Ranking


                            
                        
                        
69                        
                    
                        
                            
                                
                            
                            GBR","25                                        
                                            
                                                (1995.08.23)",2017,181,"6'2"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""1,970""},{""service-record"":""Double Faults""},{""service-record"":""700""},{""service-record"":""1st Serve""},{""service-record"":""62%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""74%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""51%""},{""service-record"":""Break Points Faced""},{""service-record"":""1,517""},{""service-record"":""Break Points Saved""},{""service-record"":""63%""},{""service-record"":""Service Games Played""},{""service-record"":""3,150""},{""service-record"":""Service Games Won""},{""service-record"":""82%""},{""service-record"":""Total Service Points Won""},{""service-record"":""65%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""28%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""50%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""1,644""},{""return-record"":""Break Points Converted""},{""return-record"":""40%""},{""return-record"":""Return Games Played""},{""return-record"":""3,163""},{""return-record"":""Return Games Won""},{""return-record"":""21%""},{""return-record"":""Return Points Won""},{""return-record"":""37%""},{""return-record"":""Total Points Won""},{""return-record"":""51%""}]",Khachanov,"Singles
                                Ranking


                            
                        
                        
20                        
                    
                        
                            
                                
                            
                            RUS","24                                        
                                            
                                                (1996.05.21)",2013,192,"6'6"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""2,980""},{""service-record"":""Double Faults""},{""service-record"":""1,578""},{""service-record"":""1st Serve""},{""service-record"":""64%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""74%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""49%""},{""service-record"":""Break Points Faced""},{""service-record"":""2,212""},{""service-record"":""Break Points Saved""},{""service-record"":""61%""},{""service-record"":""Service Games Played""},{""service-record"":""4,683""},{""service-record"":""Service Games Won""},{""service-record"":""81%""},{""service-record"":""Total Service Points Won""},{""service-record"":""65%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""30%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""51%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""2,768""},{""return-record"":""Break Points Converted""},{""return-record"":""42%""},{""return-record"":""Return Games Played""},{""return-record"":""4,686""},{""return-record"":""Return Games Won""},{""return-record"":""25%""},{""return-record"":""Return Points Won""},{""return-record"":""38%""},{""return-record"":""Total Points Won""},{""return-record"":""51%""}]",Zverev,"Singles
                                Ranking


                            
                        
                        
7                        
                    
                        
                            
                                
                            
                            GER","23                                        
                                            
                                                (1997.04.20)",2013,198,"6'6"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""12,400""},{""service-record"":""Double Faults""},{""service-record"":""1,542""},{""service-record"":""1st Serve""},{""service-record"":""69%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""79%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""56%""},{""service-record"":""Break Points Faced""},{""service-record"":""2,717""},{""service-record"":""Break Points Saved""},{""service-record"":""71%""},{""service-record"":""Service Games Played""},{""service-record"":""9,646""},{""service-record"":""Service Games Won""},{""service-record"":""92%""},{""service-record"":""Total Service Points Won""},{""service-record"":""72%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""23%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""42%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""3,259""},{""return-record"":""Break Points Converted""},{""return-record"":""30%""},{""return-record"":""Return Games Played""},{""return-record"":""9,539""},{""return-record"":""Return Games Won""},{""return-record"":""10%""},{""return-record"":""Return Points Won""},{""return-record"":""30%""},{""return-record"":""Total Points Won""},{""return-record"":""51%""}]",Isner,"Singles
                                Ranking


                            
                        
                        
24                        
                    
                        
                            
                                
                            
                            USA","35                                        
                                            
                                                (1985.04.26)",2007,238,"6'10"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""2,123""},{""service-record"":""Double Faults""},{""service-record"":""2,549""},{""service-record"":""1st Serve""},{""service-record"":""59%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""68%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""48%""},{""service-record"":""Break Points Faced""},{""service-record"":""5,150""},{""service-record"":""Break Points Saved""},{""service-record"":""57%""},{""service-record"":""Service Games Played""},{""service-record"":""7,880""},{""service-record"":""Service Games Won""},{""service-record"":""72%""},{""service-record"":""Total Service Points Won""},{""service-record"":""60%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""32%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""51%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""5,005""},{""return-record"":""Break Points Converted""},{""return-record"":""43%""},{""return-record"":""Return Games Played""},{""return-record"":""7,934""},{""return-record"":""Return Games Won""},{""return-record"":""27%""},{""return-record"":""Return Points Won""},{""return-record"":""39%""},{""return-record"":""Total Points Won""},{""return-record"":""50%""}]",Fognini,"Singles
                                Ranking


                            
                        
                        
17                        
                    
                        
                            
                                
                            
                            ITA","33                                        
                                            
                                                (1987.05.24)",2004,174,"5'10"""
