,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won
0,29%,47%,348,42%,699,21%,35%,49%
1,31%,50%,201,39%,343,23%,38%,49%
2,27%,49%,"3,615",37%,"7,098",19%,35%,50%
3,30%,50%,"3,381",39%,"5,617",24%,38%,51%
4,29%,51%,"1,081",41%,"1,825",24%,38%,50%
5,31%,53%,"3,701",42%,"5,799",27%,40%,52%
6,28%,51%,"1,334",41%,"2,388",23%,37%,50%
7,29%,49%,723,40%,"1,352",22%,37%,49%
8,28%,50%,"1,644",40%,"3,163",21%,37%,51%
9,30%,51%,"2,768",42%,"4,686",25%,38%,51%
10,23%,42%,"3,259",30%,"9,539",10%,30%,51%
11,32%,51%,"5,005",43%,"7,934",27%,39%,50%
12,27%,51%,399,40%,730,22%,37%,50%
13,30%,49%,"6,093",39%,"10,513",23%,38%,51%
14,32%,51%,"1,168",39%,"1,752",26%,39%,50%
15,29%,51%,134,38%,240,21%,38%,51%
16,26%,44%,"5,311",35%,"12,155",15%,33%,50%
17,28%,48%,615,40%,"1,235",20%,36%,50%
18,28%,51%,"2,304",41%,"4,165",23%,37%,49%
19,33%,55%,"2,706",44%,"3,721",32%,42%,51%
20,29%,52%,"2,596",42%,"4,372",25%,38%,50%
21,31%,51%,92,48%,168,26%,38%,50%
22,27%,50%,"1,494",38%,"2,753",21%,36%,50%
23,29%,49%,"1,456",38%,"2,549",21%,37%,49%
24,31%,53%,"4,690",41%,"7,079",27%,40%,52%
25,31%,49%,414,40%,737,23%,37%,48%
26,30%,49%,"3,790",38%,"6,676",22%,37%,51%
27,31%,52%,"2,545",40%,"4,065",25%,39%,49%
28,29%,47%,"4,291",40%,"8,450",20%,36%,52%
29,28%,54%,986,39%,"1,585",24%,38%,49%
30,28%,49%,279,32%,498,18%,36%,49%
31,26%,49%,"1,233",36%,"2,446",18%,35%,50%
32,29%,48%,"2,665",38%,"4,749",21%,37%,49%
33,24%,47%,"1,306",39%,"3,197",16%,33%,51%
34,25%,49%,280,35%,604,16%,34%,50%
35,28%,49%,117,39%,246,19%,36%,50%
36,27%,46%,"2,934",36%,"6,650",16%,34%,52%
37,30%,53%,"1,623",40%,"2,600",25%,39%,51%
38,34%,55%,"10,299",45%,"13,824",34%,42%,55%
39,28%,48%,"1,172",37%,"2,279",19%,36%,51%
40,26%,49%,"1,066",38%,"2,191",18%,35%,49%
41,27%,48%,"1,527",38%,"3,066",19%,35%,50%
42,28%,46%,482,36%,979,18%,35%,49%
43,28%,51%,"1,635",37%,"2,904",21%,37%,50%
44,28%,48%,"1,356",38%,"2,647",20%,36%,52%
45,20%,41%,418,29%,"1,256",10%,28%,50%
46,26%,46%,"1,910",36%,"4,182",16%,33%,50%
47,28%,50%,453,39%,840,21%,37%,50%
48,29%,50%,"1,842",39%,"3,382",21%,37%,50%
49,26%,45%,"1,317",36%,"3,195",15%,33%,49%
50,30%,51%,"6,172",41%,"10,210",25%,38%,52%
51,26%,50%,209,36%,406,19%,35%,49%
52,27%,49%,"1,615",39%,"3,170",20%,36%,49%
53,27%,49%,"1,853",38%,"3,668",19%,36%,50%
54,26%,46%,"1,095",37%,"2,536",16%,34%,49%
55,31%,53%,"6,541",42%,"10,331",27%,40%,51%
56,26%,51%,256,42%,541,20%,35%,48%
57,29%,48%,713,37%,"1,311",20%,37%,49%
58,30%,51%,"1,020",41%,"1,761",24%,38%,51%
59,27%,48%,534,37%,"1,056",19%,35%,50%
60,29%,50%,"2,864",42%,"5,350",23%,37%,50%
61,33%,51%,"11,822",41%,"18,229",27%,40%,54%
62,31%,49%,"3,461",40%,"5,815",24%,38%,49%
63,31%,50%,242,42%,414,24%,38%,49%
64,26%,47%,"3,400",36%,"7,423",16%,34%,51%
65,33%,51%,296,42%,466,27%,39%,49%
66,29%,50%,"5,462",40%,"9,881",22%,37%,51%
67,28%,47%,816,35%,"1,631",18%,35%,51%
68,26%,47%,690,36%,"1,491",16%,34%,48%
69,27%,46%,"4,005",37%,"8,483",18%,34%,51%
70,27%,50%,"1,900",39%,"3,563",21%,36%,50%
71,30%,53%,"1,850",40%,"2,964",25%,39%,52%
72,29%,47%,704,38%,"1,375",20%,36%,51%
73,27%,49%,"1,375",37%,"2,619",19%,36%,49%
74,28%,51%,307,39%,533,22%,37%,48%
75,27%,52%,499,40%,923,22%,37%,50%
76,26%,47%,601,37%,"1,323",17%,34%,49%
77,28%,49%,879,38%,"1,656",20%,36%,49%
78,27%,48%,"1,478",39%,"2,998",19%,35%,50%
79,31%,52%,163,41%,262,26%,39%,49%
