,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won
0,29%,47%,221,35%,380,21%,36%,50%
1,23%,46%,109,33%,307,12%,32%,46%
2,27%,47%,"2,095",36%,"4,240",18%,35%,49%
3,27%,47%,28,46%,58,22%,35%,46%
4,26%,46%,"1,457",36%,"3,201",17%,34%,49%
5,30%,52%,"4,409",42%,"7,189",26%,39%,53%
6,35%,49%,310,40%,436,28%,40%,50%
7,27%,54%,65,37%,108,22%,37%,47%
8,29%,49%,453,40%,858,21%,37%,49%
9,27%,54%,17,53%,46,20%,36%,52%
10,29%,49%,88,34%,148,20%,37%,48%
11,32%,60%,12,33%,15,27%,43%,49%
12,26%,49%,99,38%,184,21%,36%,49%
13,29%,51%,"1,861",42%,"3,354",23%,37%,49%
14,22%,44%,29,31%,79,11%,31%,47%
15,27%,46%,82,39%,167,19%,34%,47%
16,25%,49%,71,39%,140,20%,35%,49%
17,28%,43%,63,40%,160,16%,34%,48%
18,24%,40%,38,39%,111,14%,31%,47%
19,24%,45%,13,46%,51,12%,31%,50%
20,27%,48%,"2,630",38%,"5,415",18%,35%,50%
21,26%,47%,189,35%,395,17%,34%,48%
22,29%,44%,72,36%,153,17%,35%,48%
23,26%,48%,211,38%,450,18%,35%,47%
24,24%,45%,455,35%,"1,172",14%,32%,48%
25,21%,47%,47,34%,114,14%,32%,48%
26,29%,51%,116,35%,192,21%,38%,48%
27,32%,44%,32,50%,63,25%,36%,47%
28,27%,52%,27,48%,69,19%,36%,52%
29,31%,47%,75,37%,130,22%,37%,47%
30,27%,47%,270,38%,567,18%,35%,48%
31,38%,52%,28,46%,38,34%,43%,49%
32,31%,58%,75,43%,105,30%,41%,50%
33,29%,50%,"5,462",40%,"9,881",22%,37%,51%
34,14%,45%,22,36%,84,10%,27%,44%
35,29%,43%,33,42%,80,18%,34%,46%
36,31%,50%,521,38%,858,23%,38%,48%
37,31%,51%,577,36%,977,21%,38%,49%
38,21%,40%,"2,688",30%,"9,533",9%,28%,50%
39,31%,48%,112,31%,165,21%,38%,50%
40,33%,55%,"7,581",43%,"10,449",32%,42%,53%
41,36%,51%,47,30%,54,26%,41%,50%
42,28%,48%,"1,806",37%,"3,429",20%,36%,48%
43,25%,47%,"1,232",37%,"2,725",17%,34%,48%
44,30%,45%,176,36%,336,19%,36%,48%
45,28%,51%,329,34%,544,20%,37%,49%
46,26%,47%,61,28%,116,15%,33%,45%
47,36%,46%,11,64%,26,27%,39%,46%
48,27%,51%,636,37%,"1,135",21%,37%,48%
49,33%,54%,47,49%,75,31%,42%,52%
50,30%,45%,98,39%,190,20%,35%,49%
51,28%,46%,23,26%,49,12%,34%,48%
52,28%,48%,"2,853",37%,"5,634",19%,35%,50%
53,28%,48%,68,29%,111,18%,35%,45%
54,27%,48%,186,31%,368,16%,35%,49%
55,25%,56%,24,38%,59,15%,34%,49%
56,26%,46%,633,35%,"1,332",17%,34%,47%
57,30%,49%,"3,074",40%,"5,367",23%,38%,49%
58,35%,47%,74,38%,117,24%,39%,49%
59,24%,48%,34,44%,98,15%,34%,47%
60,23%,52%,76,36%,153,18%,34%,46%
61,20%,40%,9,0%,20,0%,29%,46%
62,27%,45%,177,40%,382,18%,34%,47%
63,27%,49%,61,38%,132,17%,35%,49%
64,27%,49%,796,39%,"1,635",19%,35%,49%
65,35%,55%,27,56%,46,33%,42%,49%
66,30%,50%,52,48%,98,26%,37%,48%
67,17%,46%,11,45%,35,14%,29%,47%
68,26%,50%,139,35%,288,17%,35%,48%
69,23%,43%,63,38%,188,13%,30%,46%
70,25%,54%,14,64%,34,26%,36%,48%
71,30%,50%,234,37%,393,22%,38%,48%
72,27%,48%,"2,170",37%,"4,586",17%,35%,50%
73,28%,49%,24,33%,45,18%,36%,48%
74,30%,52%,"1,051",43%,"1,722",26%,39%,51%
75,20%,45%,11,64%,37,19%,31%,49%
76,25%,45%,88,35%,228,14%,33%,48%
77,28%,47%,385,34%,783,17%,35%,48%
78,27%,48%,904,40%,"1,920",19%,35%,48%
79,31%,52%,286,36%,433,24%,39%,48%
80,27%,49%,767,39%,"1,399",21%,36%,48%
81,24%,43%,26,23%,52,12%,32%,50%
82,26%,49%,393,40%,862,18%,35%,49%
83,27%,50%,105,42%,207,21%,36%,47%
84,24%,50%,60,32%,108,18%,36%,50%
85,28%,48%,"2,991",39%,"5,733",21%,36%,49%
86,30%,49%,193,41%,337,23%,38%,49%
87,31%,50%,"1,640",43%,"2,654",26%,39%,49%
88,25%,50%,121,30%,245,15%,34%,49%
89,25%,43%,255,32%,604,14%,32%,48%
90,34%,36%,8,63%,19,26%,35%,49%
91,26%,48%,518,36%,"1,081",17%,35%,48%
92,26%,46%,856,35%,"1,934",15%,34%,48%
93,28%,38%,29,45%,86,15%,31%,43%
94,29%,50%,"5,309",40%,"9,368",23%,38%,50%
95,25%,42%,265,35%,754,12%,31%,47%
96,30%,49%,168,40%,316,22%,37%,47%
97,28%,52%,53,43%,103,22%,38%,49%
98,26%,49%,729,38%,"1,474",19%,35%,48%
99,26%,49%,234,36%,460,18%,35%,48%
