,Last Name,Ranking,Age,Turned Pro,Weight,Height,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won,Aces,Double Faults,1st Serve,1st Serve Points Won,2nd Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won
0,Djokovic,1,33,2003.0,170,74,34%,55%,"9,509",44%,"13,169",32%,42%,54%,"5,882","2,486",65%,74%,55%,"5,574",65%,"13,544",86%,67%
1,Nadal,2,34,2001.0,187,73,34%,55%,"10,299",45%,"13,824",34%,42%,55%,"3,604","1,878",68%,72%,57%,"5,926",67%,"13,943",86%,67%
2,Thiem,3,27,2011.0,174,73,30%,50%,"3,381",39%,"5,617",24%,38%,51%,"2,622","1,244",60%,74%,53%,"2,578",63%,"5,605",83%,66%
3,Medvedev,4,24,2014.0,182,78,30%,53%,"1,850",40%,"2,964",25%,39%,52%,"1,914",836,60%,74%,52%,"1,408",62%,"2,953",82%,65%
4,Federer,5,39,1998.0,187,73,33%,51%,"11,822",41%,"18,229",27%,40%,54%,"11,344","2,742",62%,77%,57%,"6,367",67%,"18,630",89%,70%
5,Tsitsipas,6,22,2016.0,196,76,28%,48%,"1,356",38%,"2,647",20%,36%,52%,"1,466",478,62%,76%,54%,"1,083",64%,"2,700",86%,68%
6,Zverev,7,23,2013.0,198,78,30%,51%,"2,768",42%,"4,686",25%,38%,51%,"2,980","1,578",64%,74%,49%,"2,212",61%,"4,683",81%,65%
7,Rublev,8,23,2014.0,165,74,30%,53%,"1,623",40%,"2,600",25%,39%,51%,"1,270",672,60%,73%,50%,"1,366",61%,"2,580",80%,64%
8,Schwartzman,9,28,2010.0,141,67,33%,55%,"2,706",44%,"3,721",32%,42%,51%,682,865,62%,66%,50%,"2,338",56%,"3,675",72%,60%
9,Berrettini,10,24,2015.0,209,77,28%,47%,816,35%,"1,631",18%,35%,51%,"1,069",265,62%,78%,54%,656,66%,"1,628",86%,68%
10,Monfils,11,34,2004.0,187,76,32%,49%,"5,782",41%,"9,464",25%,39%,51%,"6,211","2,692",62%,73%,50%,"4,746",62%,"9,466",81%,64%
11,Shapovalov,12,21,2017.0,165,73,28%,48%,"1,172",37%,"2,279",19%,36%,51%,"1,440",892,59%,76%,52%,"1,085",64%,"2,288",83%,66%
12,Bautista Agut,13,32,2005.0,165,72,31%,53%,"3,701",42%,"5,799",27%,40%,52%,"1,510",938,66%,70%,54%,"3,102",62%,"5,912",80%,64%
13,Raonic,14,30,2008.0,216,77,27%,46%,"2,934",36%,"6,650",16%,34%,52%,"7,931","1,660",63%,81%,55%,"1,951",70%,"6,733",91%,72%
14,Goffin,15,30,2009.0,154,61,31%,53%,"3,569",41%,"5,352",28%,40%,51%,"2,340","1,518",58%,71%,51%,"2,972",60%,"5,300",77%,63%
