,Last Name,Ranking,Age,Turned Pro,Weight,Height,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won,Aces,Double Faults,1st Serve,1st Serve Points Won,2nd Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won
0,Travaglia,60,29,2008,176,"6'1""",29%,47%,348,42%,699,21%,35%,49%,432,204,54%,74%,49%,377,58%,705,78%,63%
1,Koepfer,70,26,2016,175,"5'11""",31%,50%,201,39%,343,23%,38%,49%,116,85,62%,68%,47%,241,62%,341,73%,60%
2,Chardy,61,33,2005,165,"6'2""",27%,49%,"3,615",37%,"7,098",19%,35%,50%,"4,601","2,364",60%,74%,49%,"3,657",63%,"7,055",81%,64%
3,Thiem,3,27,2011,174,"6'1""",30%,50%,"3,381",39%,"5,617",24%,38%,51%,"2,622","1,244",60%,74%,53%,"2,578",63%,"5,605",83%,66%
4,Krajinovic,33,28,2008,165,"6'1""",29%,51%,"1,081",41%,"1,825",24%,38%,50%,702,288,64%,68%,50%,"1,121",60%,"1,814",75%,62%
5,Bautista Agut,13,32,2005,165,"6'0""",31%,53%,"3,701",42%,"5,799",27%,40%,52%,"1,510",938,66%,70%,54%,"3,102",62%,"5,912",80%,64%
6,Millman,39,31,2006,174,"6'0""",28%,51%,"1,334",41%,"2,388",23%,37%,50%,825,383,62%,68%,53%,"1,387",60%,"2,414",77%,63%
7,Norrie,69,25,2017,181,"6'2""",29%,49%,723,40%,"1,352",22%,37%,49%,534,409,65%,69%,49%,827,63%,"1,351",77%,62%
8,Khachanov,20,24,2013,192,"6'6""",28%,50%,"1,644",40%,"3,163",21%,37%,51%,"1,970",700,62%,74%,51%,"1,517",63%,"3,150",82%,65%
9,Zverev,7,23,2013,198,"6'6""",30%,51%,"2,768",42%,"4,686",25%,38%,51%,"2,980","1,578",64%,74%,49%,"2,212",61%,"4,683",81%,65%
10,Isner,24,35,2007,238,"6'10""",23%,42%,"3,259",30%,"9,539",10%,30%,51%,"12,400","1,542",69%,79%,56%,"2,717",71%,"9,646",92%,72%
11,Fognini,17,33,2004,174,"5'10""",32%,51%,"5,005",43%,"7,934",27%,39%,50%,"2,123","2,549",59%,68%,48%,"5,150",57%,"7,880",72%,60%
12,Paul,53,23,2015,180,"6'1""",27%,51%,399,40%,730,22%,37%,50%,274,128,61%,69%,52%,407,58%,732,77%,62%
13,Wawrinka,18,35,2002,179,"6'0""",30%,49%,"6,093",39%,"10,513",23%,38%,51%,"5,867","2,110",58%,74%,54%,"5,129",64%,"10,691",83%,65%
14,Fucsovics,55,29,2010,181,"6'2""",32%,51%,"1,168",39%,"1,752",26%,39%,50%,589,478,56%,70%,50%,"1,090",60%,"1,739",75%,61%
15,Ruusuvuori,86,21,2018,174,"6'2""",29%,51%,134,38%,240,21%,38%,51%,109,76,64%,73%,51%,110,53%,239,78%,65%
16,Lopez,65,39,1997,194,"6'2""",26%,44%,"5,311",35%,"12,155",15%,33%,50%,"9,791","3,174",59%,76%,52%,"5,690",66%,"12,115",84%,66%
17,Hurkacz,30,24,2015,179,"6'5""",28%,48%,615,40%,"1,235",20%,36%,50%,724,302,63%,73%,50%,650,63%,"1,248",81%,64%
18,Kukushkin,90,33,2006,159,"6'0""",28%,51%,"2,304",41%,"4,165",23%,37%,49%,"1,091",526,61%,66%,51%,"2,690",60%,"4,102",74%,60%
19,Schwartzman,9,28,2010,141,"5'7""",33%,55%,"2,706",44%,"3,721",32%,42%,51%,682,865,62%,66%,50%,"2,338",56%,"3,675",72%,60%
20,Carreno Busta,16,29,2009,172,"6'2""",29%,52%,"2,596",42%,"4,372",25%,38%,50%,"1,455",650,65%,69%,52%,"2,460",61%,"4,364",78%,63%
21,Korda,88,20,2018,170,"6'5""",31%,51%,92,48%,168,26%,38%,50%,67,37,67%,67%,51%,103,61%,167,76%,61%
22,Edmund,50,26,2012,183,"6'2""",27%,50%,"1,494",38%,"2,753",21%,36%,50%,"1,303",576,60%,73%,52%,"1,412",63%,"2,786",81%,65%
23,Basilashvili,40,28,2008,174,"6'1""",29%,49%,"1,456",38%,"2,549",21%,37%,49%,835,951,60%,67%,49%,"1,635",59%,"2,550",73%,60%
24,Nishikori,42,31,2007,161,"5'10""",31%,53%,"4,690",41%,"7,079",27%,40%,52%,"1,936","1,534",61%,71%,53%,"3,598",61%,"7,038",80%,64%
25,Moutet,71,21,2016,156,"5'9""",31%,49%,414,40%,737,23%,37%,48%,127,228,68%,65%,47%,484,55%,718,70%,59%
26,Dimitrov,21,29,2008,179,"6'3""",30%,49%,"3,790",38%,"6,676",22%,37%,51%,"3,719","1,862",62%,74%,51%,"3,208",63%,"6,788",83%,66%
27,Andujar,59,35,2003,176,"5'11""",31%,52%,"2,545",40%,"4,065",25%,39%,49%,560,"1,071",63%,65%,49%,"2,761",57%,"4,018",70%,59%
28,Tsonga,62,35,2004,205,"6'2""",29%,47%,"4,291",40%,"8,450",20%,36%,52%,"6,507","1,580",62%,78%,53%,"3,339",67%,"8,525",87%,68%
29,Nishioka,58,25,2014,141,"5'7""",28%,54%,986,39%,"1,585",24%,38%,49%,241,229,65%,63%,53%,"1,071",60%,"1,562",72%,60%
30,Gombos,89,30,2009,187,"6'4""",28%,49%,279,32%,498,18%,36%,49%,216,168,61%,71%,46%,312,61%,493,75%,61%
31,Fritz,31,23,2015,190,"6'4""",26%,49%,"1,233",36%,"2,446",18%,35%,50%,"1,786",487,59%,75%,50%,"1,187",62%,"2,466",82%,65%
32,Sousa,93,31,2008,163,"6'1""",29%,48%,"2,665",38%,"4,749",21%,37%,49%,"1,403",846,61%,70%,49%,"2,805",58%,"4,721",75%,62%
33,Kyrgios,47,25,2013,187,"6'4""",24%,47%,"1,306",39%,"3,197",16%,33%,51%,"3,560",853,65%,77%,53%,"1,140",66%,"3,213",88%,69%
34,Gerasimov,79,28,2010,190,"6'5""",25%,49%,280,35%,604,16%,34%,50%,426,150,65%,74%,52%,254,60%,611,83%,66%
35,Mager,96,26,2013,170,"6'2""",28%,49%,117,39%,246,19%,36%,50%,118,60,64%,70%,50%,166,69%,244,79%,63%
36,Raonic,14,30,2008,216,"6'5""",27%,46%,"2,934",36%,"6,650",16%,34%,52%,"7,931","1,660",63%,81%,55%,"1,951",70%,"6,733",91%,72%
37,Rublev,8,23,2014,165,"6'2""",30%,53%,"1,623",40%,"2,600",25%,39%,51%,"1,270",672,60%,73%,50%,"1,366",61%,"2,580",80%,64%
38,Nadal,2,34,2001,187,"6'1""",34%,55%,"10,299",45%,"13,824",34%,42%,55%,"3,604","1,878",68%,72%,57%,"5,926",67%,"13,943",86%,67%
39,Shapovalov,12,21,2017,165,"6'1""",28%,48%,"1,172",37%,"2,279",19%,36%,51%,"1,440",892,59%,76%,52%,"1,085",64%,"2,288",83%,66%
40,Tiafoe,64,23,2015,190,"6'2""",26%,49%,"1,066",38%,"2,191",18%,35%,49%,"1,100",428,62%,71%,52%,"1,137",60%,"2,183",79%,64%
41,Vesely,68,27,2009,207,"6'6""",27%,48%,"1,527",38%,"3,066",19%,35%,50%,"1,793",873,64%,72%,51%,"1,583",63%,"3,058",81%,64%
42,Bublik,45,23,2016,180,"6'5""",28%,46%,482,36%,979,18%,35%,49%,895,514,58%,75%,44%,550,59%,981,77%,62%
43,Pella,44,30,2007,174,"6'0""",28%,51%,"1,635",37%,"2,904",21%,37%,50%,"1,139",538,65%,69%,52%,"1,712",63%,"2,907",78%,63%
44,Tsitsipas,6,22,2016,196,"6'4""",28%,48%,"1,356",38%,"2,647",20%,36%,52%,"1,466",478,62%,76%,54%,"1,083",64%,"2,700",86%,68%
45,Opelka,38,23,2015,225,"6'11""",20%,41%,418,29%,"1,256",10%,28%,50%,"1,778",310,63%,80%,55%,379,68%,"1,270",90%,71%
46,Johnson,77,31,2012,190,"6'2""",26%,46%,"1,910",36%,"4,182",16%,33%,50%,"2,756","1,004",59%,75%,52%,"1,981",66%,"4,221",84%,66%
47,Londero,83,27,2010,154,"5'11""",28%,50%,453,39%,840,21%,37%,50%,253,183,61%,69%,55%,464,61%,838,78%,64%
48,Delbonis,80,30,2007,198,"6'4""",29%,50%,"1,842",39%,"3,382",21%,37%,50%,"1,029",959,60%,70%,51%,"1,945",61%,"3,358",77%,62%
