,Aces,Double Faults,1st Serve,1st Serve Points Won,2nd Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won
0,137,67,63%,70%,50%,203,62%,380,79%,63%
1,131,74,61%,68%,48%,169,50%,302,72%,60%
2,"2,245",903,62%,71%,49%,"2,325",61%,"4,240",78%,63%
3,12,14,58%,63%,50%,31,39%,55,65%,57%
4,"1,702",871,58%,72%,50%,"1,852",63%,"3,202",79%,63%
5,"4,417","1,365",64%,74%,53%,"2,995",64%,"7,179",85%,67%
6,92,82,65%,64%,50%,351,64%,432,71%,59%
7,18,33,63%,63%,46%,72,51%,102,66%,56%
8,388,302,59%,70%,48%,542,59%,843,74%,61%
9,23,15,64%,80%,50%,14,57%,46,87%,69%
10,42,45,59%,67%,48%,102,61%,144,72%,59%
11,5,3,56%,62%,49%,13,62%,15,67%,56%
12,96,57,56%,71%,50%,116,65%,186,78%,62%
13,"1,265",993,58%,69%,49%,"2,170",61%,"3,336",75%,61%
14,17,22,64%,70%,46%,55,67%,79,77%,62%
15,54,35,61%,65%,47%,116,56%,164,69%,58%
16,75,40,57%,73%,52%,63,57%,139,81%,64%
17,76,68,55%,72%,49%,103,60%,157,74%,61%
18,40,36,52%,72%,53%,66,62%,109,77%,63%
19,67,48,57%,80%,50%,22,68%,51,86%,67%
20,"2,855",774,65%,71%,51%,"2,911",62%,"5,438",80%,64%
21,225,85,59%,70%,51%,236,59%,398,76%,62%
22,76,35,59%,70%,48%,98,62%,148,75%,61%
23,146,170,61%,69%,46%,320,61%,441,72%,60%
24,782,307,56%,73%,50%,682,63%,"1,177",79%,63%
25,50,14,64%,69%,51%,85,72%,114,79%,62%
26,53,51,65%,64%,48%,141,60%,194,71%,59%
27,36,27,55%,71%,44%,34,47%,61,70%,59%
28,34,12,61%,72%,59%,27,67%,70,87%,67%
29,16,7,70%,62%,47%,92,62%,127,72%,58%
30,169,132,60%,68%,50%,351,58%,569,74%,61%
31,25,21,64%,64%,38%,44,66%,37,59%,54%
32,27,30,58%,71%,47%,58,50%,103,72%,61%
33,"4,526","1,712",60%,72%,54%,"4,864",63%,"9,785",82%,65%
34,14,13,67%,67%,44%,53,53%,84,70%,60%
35,22,16,59%,63%,47%,53,49%,78,65%,57%
36,259,216,61%,65%,47%,629,56%,871,68%,58%
37,313,187,63%,68%,48%,638,59%,986,73%,61%
38,"13,653","2,434",66%,83%,53%,"2,632",71%,"9,560",92%,73%
39,74,39,58%,71%,53%,90,62%,167,80%,64%
40,"5,741","2,145",58%,74%,52%,"5,107",62%,"10,546",82%,65%
41,15,11,65%,68%,46%,31,55%,53,74%,60%
42,"1,123",768,59%,69%,49%,"2,093",57%,"3,393",74%,61%
43,"1,363",561,59%,71%,50%,"1,510",58%,"2,704",76%,62%
44,118,100,63%,68%,47%,229,62%,333,74%,60%
45,275,178,60%,72%,46%,349,59%,556,74%,62%
46,34,23,63%,63%,48%,83,54%,111,66%,57%
47,0,8,62%,57%,46%,22,55%,26,62%,53%
48,173,275,65%,65%,49%,737,56%,"1,115",71%,60%
49,19,13,64%,68%,47%,46,63%,76,78%,60%
50,72,21,61%,69%,52%,100,55%,192,77%,62%
51,43,8,56%,73%,47%,30,57%,50,74%,62%
52,"4,239","1,906",60%,75%,49%,"2,917",64%,"5,634",81%,65%
53,11,32,66%,61%,44%,89,53%,108,61%,56%
54,253,134,59%,74%,48%,188,59%,379,79%,63%
55,21,10,65%,70%,56%,27,59%,61,82%,65%
56,324,300,56%,67%,49%,841,54%,"1,320",70%,59%
57,"1,821","1,038",61%,69%,49%,"3,181",57%,"5,298",74%,61%
58,17,13,59%,63%,50%,105,68%,117,71%,58%
59,24,19,62%,68%,44%,64,58%,96,72%,59%
60,62,32,60%,65%,48%,103,53%,150,68%,58%
61,12,2,65%,68%,46%,14,71%,20,80%,60%
62,145,124,66%,68%,46%,248,56%,380,71%,60%
63,77,19,61%,71%,50%,74,66%,132,81%,63%
64,941,488,55%,74%,48%,899,59%,"1,625",77%,62%
65,8,13,59%,63%,46%,40,53%,50,62%,56%
66,35,17,57%,68%,46%,66,56%,99,71%,59%
67,6,6,59%,70%,53%,19,58%,34,76%,63%
68,84,61,66%,65%,51%,178,58%,286,74%,60%
69,76,38,64%,70%,48%,113,61%,183,76%,62%
70,4,6,67%,61%,48%,31,71%,33,73%,57%
71,105,130,66%,65%,47%,311,63%,393,71%,59%
72,"2,274","1,281",61%,73%,52%,"2,205",62%,"4,591",82%,65%
73,10,5,65%,65%,57%,22,45%,43,72%,62%
74,508,405,62%,70%,50%,919,58%,"1,690",77%,63%
75,13,5,61%,72%,53%,19,63%,37,81%,65%
76,99,70,58%,72%,48%,137,57%,231,74%,62%
77,281,247,61%,67%,49%,522,58%,785,72%,60%
78,880,526,58%,70%,50%,"1,158",58%,"1,912",75%,62%
79,73,67,73%,62%,47%,345,58%,435,66%,58%
80,404,338,63%,66%,49%,"1,001",59%,"1,385",71%,59%
81,33,21,55%,75%,57%,28,79%,52,88%,67%
82,290,186,63%,68%,50%,504,59%,846,76%,62%
83,42,75,66%,64%,48%,135,53%,210,70%,58%
84,81,31,58%,74%,53%,58,69%,107,83%,65%
85,"2,938","1,260",59%,72%,49%,"3,207",60%,"5,703",78%,63%
86,59,42,64%,63%,51%,227,59%,333,72%,59%
87,558,613,64%,65%,49%,"1,760",57%,"2,609",71%,59%
88,152,45,61%,73%,47%,125,58%,241,78%,63%
89,390,197,61%,73%,50%,340,65%,600,80%,64%
90,3,0,56%,70%,54%,9,56%,19,79%,63%
91,358,286,58%,68%,49%,648,54%,"1,061",72%,60%
92,781,368,59%,70%,50%,"1,163",62%,"1,908",77%,62%
93,11,20,59%,58%,45%,72,44%,88,55%,53%
94,"3,636","2,048",58%,70%,50%,"5,475",60%,"9,269",76%,62%
95,435,249,61%,70%,50%,438,59%,754,76%,62%
96,75,69,68%,64%,43%,229,55%,308,67%,57%
97,48,17,63%,66%,49%,64,56%,101,72%,59%
98,446,322,61%,68%,49%,947,60%,"1,475",74%,61%
99,199,108,63%,67%,48%,285,55%,455,72%,60%
